order_date,ship_date,ship_mode,segment,city,state,region,category,sub-category,product_name,sales,order_year,order_month,order_day,shipping_time,category_avg_sales,day_of_week,is_weekend,month,year,quarter,is_month_start,is_month_end,log_sales,region_avg_sales,city_order_count,product_name_length,shipping_days
2017-11-08,2017-11-11,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2017,11,8,3 days,350.687146701974,2,0,11,2017,4,0,0,5.572001929355964,243.52406695869837,51,33,3
2017-11-08,2017-11-11,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,2017,11,8,3 days,350.687146701974,2,0,11,2017,4,0,0,6.597063843147503,243.52406695869837,51,59,3
2017-06-12,2017-06-16,Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2017,6,12,4 days,119.38100084616687,0,0,6,2017,2,0,0,2.7485521444115397,226.18461289808917,728,57,4
2016-10-11,2016-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,2016,10,11,7 days,350.687146701974,1,0,10,2016,4,0,0,6.86545041472046,243.52406695869837,13,45,7
2016-10-11,2016-10-18,Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2016,10,11,7 days,119.38100084616687,1,0,10,2016,4,0,0,3.15136756508544,243.52406695869837,13,30,7
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,2015,6,9,5 days,350.687146701974,1,0,6,2015,2,0,0,3.9092190780954117,226.18461289808917,728,64,5
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28,2015,6,9,5 days,119.38100084616687,1,0,6,2015,2,0,0,2.1138429683971687,226.18461289808917,728,10,5
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,2015,6,9,5 days,456.40147435190295,1,0,6,2015,2,0,0,6.8114117654723865,226.18461289808917,728,30,5
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,2015,6,9,5 days,119.38100084616687,1,0,6,2015,2,0,0,2.970619572738916,226.18461289808917,728,52,5
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,2015,6,9,5 days,119.38100084616687,1,0,6,2015,2,0,0,4.752727750345706,226.18461289808917,728,32,5
